"","V1","V2"
"342","John Baptist Cavalletto","Mrs Plornish"
"343","Lord Decimus Tite Barnacle","Mr John Chivery"
"344","Lord Decimus Tite Barnacle","Mr Rugg"
"345","Lord Decimus Tite Barnacle","Mrs Chivery"
"346","Lord Decimus Tite Barnacle","Mrs Plornish"
"347","Mr John Chivery","Mr Pancks"
"348","Mr John Chivery","Mr Rugg"
"349","Mr John Chivery","Mrs Plornish"
"350","Mr Pancks","Mr Rugg"
"351","Mr Pancks","Mrs Chivery"
"352","Mr Rugg","Mrs Chivery"
"353","Mr Rugg","Mrs Plornish"
"354","Mrs Chivery","Mrs Plornish"
"355","Arthur Clennam","Augustus Stiltstalking"
"356","Arthur Clennam","Lord Lancaster Stiltstalking"
"357","Arthur Clennam","Mrs Gowan"
"358","Arthur Clennam","Tudor Stiltstalking"
"359","Augustus Stiltstalking","Clarence Barnacle"
"360","Augustus Stiltstalking","Daniel Doyce"
"361","Augustus Stiltstalking","Henry Gowan"
"362","Augustus Stiltstalking","Lord Lancaster Stiltstalking"
"363","Augustus Stiltstalking","Minnie Meagles"
"364","Augustus Stiltstalking","Mr Meagles"
"365","Augustus Stiltstalking","Mrs Gowan"
"366","Augustus Stiltstalking","Tudor Stiltstalking"
"367","Clarence Barnacle","Lord Lancaster Stiltstalking"
"368","Clarence Barnacle","Mrs Gowan"
"369","Clarence Barnacle","Tudor Stiltstalking"
"370","Daniel Doyce","Lord Lancaster Stiltstalking"
"371","Daniel Doyce","Mrs Gowan"
"372","Daniel Doyce","Tudor Stiltstalking"
"373","Henry Gowan","Lord Lancaster Stiltstalking"
"374","Henry Gowan","Mrs Gowan"
"375","Henry Gowan","Tudor Stiltstalking"
"376","Lord Lancaster Stiltstalking","Minnie Meagles"
"377","Lord Lancaster Stiltstalking","Mr Meagles"
"378","Lord Lancaster Stiltstalking","Mrs Gowan"
"379","Lord Lancaster Stiltstalking","Tudor Stiltstalking"
"380","Minnie Meagles","Mrs Gowan"
"381","Minnie Meagles","Tudor Stiltstalking"
"382","Mr Meagles","Mrs Gowan"
"383","Mr Meagles","Tudor Stiltstalking"
"384","Mrs Gowan","Tudor Stiltstalking"
"385","Amy Dorrit","Henry Gowan"
"386","Amy Dorrit","Mrs Gowan"
"387","Harriet Beadle","Henry Gowan"
"388","Harriet Beadle","Mr Pancks"
"389","Harriet Beadle","Mrs Gowan"
"390","Henry Gowan","Miss Wade"
"391","Henry Gowan","Mr Pancks"
"392","Henry Gowan","Mrs Tickit"
"393","Minnie Meagles","Mr Pancks"
"394","Miss Wade","Mr Pancks"
"395","Miss Wade","Mrs Gowan"
"396","Mr Pancks","Mrs Gowan"
"397","Mr Pancks","Mrs Tickit"
"398","Mrs Gowan","Mrs Tickit"
"399","Christopher Casby","Jeremiah Flintwinch"
"400","Flora Finching","Jeremiah Flintwinch"
"401","Jeremiah Flintwinch","Mr Pancks"
"402","Affery Flintwinch","Rigaud"
"403","Arthur Clennam","Rigaud"
"404","Jeremiah Flintwinch","Rigaud"
"405","Mrs Clennam","Rigaud"
"406","Amy Dorrit","John Edward Nandy"
"407","Arthur Clennam","John Edward Nandy"
"408","Edward Dorrit","John Edward Nandy"
"409","Fanny Dorrit","John Edward Nandy"
"410","Fanny Dorrit","Mrs Plornish"
"411","John Edward Nandy","Maggy"
"412","John Edward Nandy","Mr John Chivery"
"413","John Edward Nandy","Mr Plornish"
"414","John Edward Nandy","Mr William Dorrit"
"415","John Edward Nandy","Mrs Plornish"
"416","Maggy","Mrs Plornish"
"417","Amy Dorrit","Mr Rugg"
"418","Maggy","Mr Rugg"
"419","Mr Rugg","Mr William Dorrit"
"420","Arthur Clennam","Mr Sparkler"
"421","Arthur Clennam","Treasury"
"422","Henry Gowan","Mr Merdle"
"423","Henry Gowan","Mr Sparkler"
"424","Henry Gowan","Mrs Merdle"
"425","Henry Gowan","Physician"
"426","Henry Gowan","Treasury"
"427","Mr Meagles","Mr Merdle"
"428","Mr Meagles","Mr Sparkler"
"429","Mr Meagles","Mrs Merdle"
"430","Mr Meagles","Physician"
"431","Mr Meagles","Treasury"
"432","Mr Merdle","Mrs Gowan"
"433","Mr Merdle","Mrs Meagles"
"434","Mr Sparkler","Mrs Gowan"
"435","Mr Sparkler","Mrs Meagles"
"436","Mrs Gowan","Mrs Meagles"
"437","Mrs Gowan","Mrs Merdle"
"438","Mrs Gowan","Physician"
"439","Mrs Gowan","Treasury"
"440","Mrs Meagles","Mrs Merdle"
"441","Mrs Meagles","Physician"
"442","Mrs Meagles","Treasury"
"443","Arthur Clennam","Miss Tite Barnacles"
"444","Daniel Doyce","Lord Decimus Tite Barnacle"
"445","Daniel Doyce","Miss Tite Barnacles"
"446","Daniel Doyce","Treasury"
"447","Ferdinand Barnacle","Lord Decimus Tite Barnacle"
"448","Ferdinand Barnacle","Miss Tite Barnacles"
"449","Ferdinand Barnacle","Mrs Gowan"
"450","Ferdinand Barnacle","Mrs Tickit"
"451","Ferdinand Barnacle","Treasury"
"452","Ferdinand Barnacle","Tudor Stiltstalking"
"453","Henry Gowan","Lord Decimus Tite Barnacle"
"454","Henry Gowan","Miss Tite Barnacles"
"455","Henry Gowan","Mr Tite Barnacle"
"456","Henry Gowan","Mrs Tite Barnacle"
"457","Lord Decimus Tite Barnacle","Minnie Meagles"
"458","Lord Decimus Tite Barnacle","Miss Tite Barnacles"
"459","Lord Decimus Tite Barnacle","Mr Meagles"
"460","Lord Decimus Tite Barnacle","Mr Tite Barnacle"
"461","Lord Decimus Tite Barnacle","Mrs Gowan"
"462","Lord Decimus Tite Barnacle","Mrs Meagles"
"463","Lord Decimus Tite Barnacle","Mrs Tickit"
"464","Lord Decimus Tite Barnacle","Mrs Tite Barnacle"
"465","Lord Decimus Tite Barnacle","Treasury"
