"V1","V2"
"Captain Frederick Wentworth","The Dowager Countess Dalrymple"
"Captain Harville","The Dowager Countess Dalrymple"
"Charles Hayter","Elizabeth Elliot"
"Charles Hayter","The Dowager Countess Dalrymple"
"Charles Musgrove","The Dowager Countess Dalrymple"
"Elder Mr Charles Musgrove","The Dowager Countess Dalrymple"
"Henrietta Musgrove","The Dowager Countess Dalrymple"
"Louisa Musgrove","The Dowager Countess Dalrymple"
"Mrs Croft","The Dowager Countess Dalrymple"
"Admiral Brand","Admiral Croft"
"Admiral Brand","Anne Elliot"
"Admiral Brand","Captain Benwick"
"Admiral Brand","Captain Brigden"
"Admiral Brand","Captain Frederick Wentworth"
"Admiral Brand","Elizabeth Elliot"
"Admiral Brand","Lady Russell"
"Admiral Brand","Louisa Musgrove"
"Admiral Brand","Mrs Croft"
"Admiral Brand","Sir Archibald Drew"
"Admiral Brand","Sir Walter Elliot"
"Admiral Croft","Captain Brigden"
"Admiral Croft","Sir Archibald Drew"
"Anne Elliot","Captain Brigden"
"Anne Elliot","Sir Archibald Drew"
"Captain Benwick","Captain Brigden"
"Captain Benwick","Sir Archibald Drew"
"Captain Brigden","Captain Frederick Wentworth"
"Captain Brigden","Elizabeth Elliot"
"Captain Brigden","Lady Russell"
"Captain Brigden","Louisa Musgrove"
"Captain Brigden","Mrs Croft"
"Captain Brigden","Sir Archibald Drew"
"Captain Brigden","Sir Walter Elliot"
"Captain Frederick Wentworth","Sir Archibald Drew"
"Elizabeth Elliot","Sir Archibald Drew"
"Lady Russell","Sir Archibald Drew"
"Louisa Musgrove","Sir Archibald Drew"
"Mrs Croft","Sir Archibald Drew"
"Sir Archibald Drew","Sir Walter Elliot"
"Captain Benwick","Edward Wentworth"
"Captain Harville","Edward Wentworth"
