"source" "target" "tag"
119 137 "Mr Losberne"
116 137 "Mrs Maylie"
136 137 "Oliver Twist"
136 137 "Rose Maylie"
137 138 "Mr Brownlow"
57 138 "Mr Grimwig"
135 138 "Nancy"
137 138 "Oliver Twist"
137 138 "Rose Maylie"
102 139 "Blathers"
116 139 "Duff"
135 139 "Edward Leeford"
138 139 "Mr Brownlow"
137 139 "Mr Losberne"
104 139 "Mrs Bedwin"
137 139 "Mrs Maylie"
138 139 "Nancy"
138 139 "Oliver Twist"
138 139 "Rose Maylie"
139 140 "Edward Leeford"
137 140 "Harry Maylie"
139 140 "Mr Brownlow"
138 140 "Mr Grimwig"
139 140 "Mr Losberne"
139 140 "Mrs Maylie"
139 140 "Oliver Twist"
139 140 "Rose Maylie"
135 141 "Bill Sikes"
89 141 "Charlotte"
88 141 "Mr Sowerberry"
139 141 "Nancy"
89 141 "Noah Claypole"
140 141 "Rose Maylie"
83 142 "Barney"
141 142 "Charlotte"
135 142 "Fagin"
141 142 "Noah Claypole"
142 143 "Barney"
142 143 "Charlotte"
142 143 "Fagin"
142 143 "Noah Claypole"
143 144 "Charlotte"
143 144 "Fagin"
143 144 "Noah Claypole"
130 145 "Artful Dodger"
144 145 "Fagin"
144 145 "Morris Bolter"
144 145 "Noah Claypole"
145 146 "Artful Dodger"
130 146 "Charley Bates"
145 146 "Fagin"
145 146 "Morris Bolter"
145 146 "Noah Claypole"
146 147 "Artful Dodger"
146 147 "Charley Bates"
146 147 "Fagin"
146 147 "Morris Bolter"
146 147 "Noah Claypole"
147 148 "Artful Dodger"
147 148 "Charley Bates"
147 148 "Fagin"
147 148 "Noah Claypole"
141 149 "Bill Sikes"
148 149 "Fagin"
141 149 "Nancy"
149 150 "Bill Sikes"
149 150 "Fagin"
149 150 "Nancy"
150 151 "Bill Sikes"
150 151 "Fagin"
143 152 "Barney"
151 152 "Fagin"
147 152 "Morris Bolter"
148 152 "Noah Claypole"
152 153 "Fagin"
152 153 "Noah Claypole"
150 154 "Nancy"
140 155 "Edward Leeford"
154 155 "Nancy"
140 155 "Oliver Twist"
155 156 "Edward Leeford"
153 156 "Fagin"
155 156 "Nancy"
141 156 "Rose Maylie"
140 157 "Mr Brownlow"
153 157 "Noah Claypole"
156 157 "Rose Maylie"
151 158 "Bill Sikes"
156 158 "Fagin"
157 158 "Noah Claypole"
148 159 "Artful Dodger"
80 159 "Bet"
158 159 "Bill Sikes"
148 159 "Charley Bates"
156 159 "Edward Leeford"
158 159 "Fagin"
156 159 "Nancy"
158 159 "Noah Claypole"
159 160 "Bill Sikes"
160 162 "Bill Sikes"
162 164 "Bill Sikes"
159 164 "Fagin"
159 165 "Edward Leeford"
157 165 "Mr Brownlow"
165 166 "Edward Leeford"
165 166 "Mr Brownlow"
166 167 "Edward Leeford"
166 167 "Mr Brownlow"
167 168 "Edward Leeford"
167 168 "Mr Brownlow"
140 168 "Mr Losberne"
159 169 "Charley Bates"
164 169 "Fagin"
130 169 "Toby Crackit"
130 169 "Tom Chitling"
164 170 "Bill Sikes"
169 170 "Charley Bates"
169 170 "Fagin"
169 170 "Kags"
169 170 "Toby Crackit"
169 170 "Tom Chitling"
170 171 "Bill Sikes"
170 171 "Charley Bates"
170 171 "Fagin"
170 171 "Toby Crackit"
55 175 "Dick"
168 175 "Edward Leeford"
168 175 "Mr Brownlow"
10 175 "Mr Gamfield"
140 175 "Mr Grimwig"
168 175 "Mr Losberne"
141 175 "Mr Sowerberry"
139 175 "Mrs Bedwin"
140 175 "Mrs Maylie"
155 175 "Oliver Twist"
157 175 "Rose Maylie"
175 176 "Edward Leeford"
171 176 "Fagin"
175 176 "Mr Brownlow"
175 176 "Mr Grimwig"
175 176 "Mr Losberne"
175 176 "Oliver Twist"
175 176 "Rose Maylie"
176 177 "Edward Leeford"
176 177 "Mr Brownlow"
127 177 "Mr Bumble"
176 177 "Mr Grimwig"
176 177 "Oliver Twist"
126 177 "Sally"
177 178 "Edward Leeford"
140 178 "Harry Maylie"
177 178 "Mr Brownlow"
177 178 "Mr Bumble"
177 178 "Mr Grimwig"
175 178 "Mrs Maylie"
177 178 "Oliver Twist"
176 178 "Rose Maylie"
175 179 "Dick"
178 179 "Harry Maylie"
178 179 "Mr Brownlow"
178 179 "Mr Grimwig"
176 179 "Mr Losberne"
178 179 "Mrs Maylie"
178 179 "Rose Maylie"
171 182 "Bill Sikes"
178 182 "Edward Leeford"
176 182 "Fagin"
179 182 "Mr Brownlow"
178 182 "Oliver Twist"
182 183 "Fagin"
182 183 "Mr Brownlow"
182 183 "Oliver Twist"
182 184 "Bill Sikes"
102 184 "Brittles"
171 184 "Charley Bates"
144 184 "Charlotte"
182 184 "Edward Leeford"
183 184 "Fagin"
179 184 "Harry Maylie"
183 184 "Mr Brownlow"
178 184 "Mr Bumble"
137 184 "Mr Giles"
179 184 "Mr Grimwig"
179 184 "Mr Losberne"
179 184 "Mrs Maylie"
159 184 "Noah Claypole"
183 184 "Oliver Twist"
179 184 "Rose Maylie"
184 185 "Mr Brownlow"
184 185 "Rose Maylie"
