"V1","V2"
"Mr Tite Barnacle","Mrs Meagles"
"Mr Tite Barnacle","Mrs Tickit"
"Mrs Meagles","Mrs Tickit"
"Mrs Meagles","Mrs Tite Barnacle"
"Mrs Tickit","Mrs Tite Barnacle"
"Ferdinand Barnacle","Lord Decimus Tite Barnacle"
"Ferdinand Barnacle","Tudor Stiltstalking"
"Lord Decimus Tite Barnacle","Tudor Stiltstalking"
"Henry Gowan","Lord Decimus Tite Barnacle"
"Lord Decimus Tite Barnacle","Minnie Meagles"
"Lord Decimus Tite Barnacle","Mr Meagles"
"Lord Decimus Tite Barnacle","Mr Tite Barnacle"
"Lord Decimus Tite Barnacle","Mrs Gowan"
"Lord Decimus Tite Barnacle","Mrs Meagles"
"Lord Decimus Tite Barnacle","Mrs Tickit"
"Lord Decimus Tite Barnacle","Treasury"
"Minnie Meagles","Treasury"
"Mr Tite Barnacle","Mrs Gowan"
"Mr Tite Barnacle","Treasury"
"Mrs Tickit","Treasury"
"Amy Dorrit","Mr Rugg"
"Mr Rugg","Mr William Dorrit"
"Amy Dorrit","Anastasia Rugg"
"Anastasia Rugg","Arthur Clennam"
"Anastasia Rugg","Christopher Casby"
"Anastasia Rugg","Daniel Doyce"
"Anastasia Rugg","Flora Finching"
"Anastasia Rugg","Mr F.'s Aunt"
"Christopher Casby","Mr Rugg"
"Daniel Doyce","Mr Rugg"
"Flora Finching","Mr Rugg"
"Mr F.'s Aunt","Mr Rugg"
"Daniel Doyce","Mr John Chivery"
"Daniel Doyce","Mr William Dorrit"
"Flora Finching","Mr John Chivery"
"Edward Dorrit","Mr Rugg"
"Fanny Dorrit","Mr Rugg"
"Maggy","Mr Frederick Dorrit"
"Mr Frederick Dorrit","Mr Plornish"
"Christopher Casby","Fanny Dorrit"
"Christopher Casby","Mr John Chivery"
"Fanny Dorrit","Mr Pancks"
"Amy Dorrit","Mrs General"
"Amy Dorrit","Rigaud"
"Edward Dorrit","Minnie Meagles"
"Edward Dorrit","Mrs General"
"Edward Dorrit","Rigaud"
"Minnie Meagles","Mr Frederick Dorrit"
"Minnie Meagles","Mr William Dorrit"
"Minnie Meagles","Mrs General"
"Minnie Meagles","Rigaud"
"Mr Frederick Dorrit","Mrs General"
"Mr Frederick Dorrit","Rigaud"
"Mr William Dorrit","Mrs General"
"Mr William Dorrit","Rigaud"
"Mrs General","Rigaud"
"Amy Dorrit","Mrs Gowan"
"Edward Dorrit","Henry Gowan"
"Edward Dorrit","Mrs Gowan"
"Fanny Dorrit","Henry Gowan"
"Fanny Dorrit","Mrs Gowan"
"Fanny Dorrit","Rigaud"
"Henry Gowan","Mr William Dorrit"
"Henry Gowan","Rigaud"
"Mr William Dorrit","Mrs Gowan"
"Mrs Gowan","Rigaud"
"Fanny Dorrit","Mrs General"
"Edward Dorrit","Mr Sparkler"
"Fanny Dorrit","Mr Sparkler"
"Mr Sparkler","Mr William Dorrit"
"Mr Sparkler","Mrs General"
"Mrs General","Mrs Merdle"
"Arthur Clennam","Mrs General"
"Fanny Dorrit","Mrs Clennam"
"Henry Gowan","John Edward Nandy"
"Henry Gowan","Maggy"
"Henry Gowan","Mrs Clennam"
"Henry Gowan","Mrs General"
"Henry Gowan","Mrs Plornish"
"John Edward Nandy","Mrs Clennam"
"John Edward Nandy","Mrs General"
"John Edward Nandy","Mrs Gowan"
"Maggy","Mrs General"
"Maggy","Mrs Gowan"
"Mrs Clennam","Mrs General"
"Mrs Clennam","Mrs Gowan"
"Mrs General","Mrs Gowan"
"Mrs General","Mrs Plornish"
"Mrs Gowan","Mrs Plornish"
"Amy Dorrit","Tinkler"
"Fanny Dorrit","Tinkler"
"Mr William Dorrit","Tinkler"
"Mrs General","Tinkler"
"Arthur Clennam","Mr Sparkler"
"Edward Dorrit","Mr Merdle"
"Mr Merdle","Mr William Dorrit"
"Mr Merdle","Mrs General"
"Fanny Dorrit","Minnie Meagles"
"Mr Sparkler","Rigaud"
"Mrs Merdle","Rigaud"
"Fanny Dorrit","Mr Meagles"
"Mr Meagles","Mr William Dorrit"
"Mr Meagles","Mrs General"
"Mr Meagles","Rigaud"
"Arthur Clennam","John Baptist Cavalletto"
"Harriet Beadle","Henry Gowan"
