"source" "target" "tag"
"691" 164 165 "Clara Barley"
"692" 160 165 "Estella"
"693" 164 165 "Herbert Pocket"
"694" 164 165 "Old Barley"
"695" 165 166 "Estella"
"696" 165 166 "Herbert Pocket"
"697" 164 166 "John Wemmick"
"698" 129 166 "Mr Wopsle"
"699" 165 167 "Abel Magwitch"
"700" 164 167 "Compeyson"
"701" 166 167 "Mr Wopsle"
"702" 164 167 "Pip"
"703" 167 168 "Compeyson"
"704" 166 168 "Herbert Pocket"
"705" 166 168 "John Wemmick"
"706" 167 168 "Mr Wopsle"
"707" 167 168 "Pip"
"708" 159 170 "Bentley Drummle"
"709" 168 170 "John Wemmick"
"710" 159 170 "Miss Havisham"
"711" 92 170 "Molly"
"712" 157 170 "Mr Jaggers"
"713" 168 170 "Pip"
"714" 170 171 "Bentley Drummle"
"715" 166 171 "Estella"
"716" 170 171 "John Wemmick"
"717" 170 171 "Miss Havisham"
"718" 162 171 "Miss Skiffins"
"719" 170 171 "Mr Jaggers"
"720" 162 171 "The Aged"
"721" 171 172 "John Wemmick"
"722" 171 172 "Mr Jaggers"
"723" 171 173 "Estella"
"724" 171 173 "Miss Havisham"
"725" 172 173 "Mr Jaggers"
"726" 170 173 "Pip"
"727" 173 174 "Estella"
"728" 173 174 "Miss Havisham"
"729" 173 174 "Mr Jaggers"
"730" 173 174 "Pip"
"731" 174 175 "Estella"
"732" 168 175 "Herbert Pocket"
"733" 174 175 "Miss Havisham"
"734" 174 175 "Mr Jaggers"
"735" 175 176 "Estella"
"736" 175 176 "Herbert Pocket"
"737" 175 176 "Miss Havisham"
"738" 157 176 "Mr Pocket"
"739" 167 177 "Abel Magwitch"
"740" 176 177 "Herbert Pocket"
"741" 176 177 "Miss Havisham"
"742" 175 177 "Mr Jaggers"
"743" 165 177 "Old Barley"
"744" 174 177 "Pip"
"745" 177 178 "Abel Magwitch"
"746" 168 178 "Compeyson"
"747" 176 178 "Estella"
"748" 177 178 "Herbert Pocket"
"749" 178 179 "Abel Magwitch"
"750" 178 179 "Estella"
