"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
142 0 98 2.75533883158999 0.866989352187382 24 16 0.0145625366999413 0.656225621700287
143 1 20 2.75114717462505 0.865670413872079 24 16 0.0143997224149896 0.657110333442688
144 0 99 2.75460597342138 0.866758752516095 24 16 0.0143540669856459 0.659556865692139
145 0 100 2.75026858722831 0.865393959336176 24 16 0.0143642688811581 0.658760070800781
146 0 101 2.74712130783606 0.864403642758717 24 16 0.0142067440574903 0.659411907196045
148 0 102 2.74369082182326 0.863324212957988 24 16 0.0141067538126362 0.653635144233704
149 1 57 2.74258789227855 0.862977167374877 24 16 0.0139544869042508 0.657226383686066
150 0 103 2.74122616344762 0.862548688531025 24 16 0.0139109277478049 0.658069372177124
151 0 104 2.73644677238629 0.861044814991913 24 16 0.0138671671358565 0.662940263748169
152 2 3 2.73470793961074 0.860497677382428 24 16 0.0137204522096608 0.664478361606598
153 0 105 2.73848748743562 0.861686942267996 24 16 0.0137284701114488 0.662028014659882
154 0 106 2.74361326678396 0.86329980964595 24 16 0.0137848366796524 0.65811413526535
155 0 107 2.74641916379102 0.864182707531525 24 16 0.0137890278735349 0.658437490463257
156 0 108 2.74541844961958 0.863867824831338 24 16 0.0136946386946387 0.660926282405853
157 0 109 2.74625932222345 0.864132412106681 24 16 0.0136015325670498 0.666267871856689
158 0 110 2.74775510845571 0.864603073181702 24 16 0.013556920170052 0.666567444801331
159 0 111 2.75299383115085 0.866251479085059 24 16 0.0136054421768707 0.667450487613678
